filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
code samples/Python/Security-Aware/Claude/prompt1.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",118,4,12,"[118, 119, 120]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
code samples/Python/Security-Aware/Claude/prompt2.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,11,4,10,"[10, 11, 12, 13, 14, 15, 16]",https://bandit.readthedocs.io/en/1.9.2/plugins/b108_hardcoded_tmp_directory.html
code samples/Python/Security-Aware/Claude/prompt2.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,12,4,14,"[10, 11, 12, 13, 14, 15, 16]",https://bandit.readthedocs.io/en/1.9.2/plugins/b108_hardcoded_tmp_directory.html
code samples/Python/Security-Aware/Claude/prompt2.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,24,18,23,[24],https://bandit.readthedocs.io/en/1.9.2/plugins/b108_hardcoded_tmp_directory.html
code samples/Python/Security-Aware/Claude/prompt2.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",147,4,12,"[147, 148]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
code samples/Python/Security-Aware/Claude/prompt3.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '' OR '1'='1',169,15,28,[169],https://bandit.readthedocs.io/en/1.9.2/plugins/b105_hardcoded_password_string.html
code samples/Python/Security-Aware/Claude/prompt3.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,172,23,61,[172],https://bandit.readthedocs.io/en/1.9.2/plugins/b608_hardcoded_sql_expressions.html
code samples/Python/Security-Aware/Claude/prompt4.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,243,23,64,[243],https://bandit.readthedocs.io/en/1.9.2/plugins/b608_hardcoded_sql_expressions.html
code samples/Python/Security-Aware/Claude/prompt5.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,223,20,16,"[223, 224, 225, 226, 227]",https://bandit.readthedocs.io/en/1.9.2/plugins/b608_hardcoded_sql_expressions.html
code samples/Python/Security-Aware/Claude/prompt5.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,345,23,51,[345],https://bandit.readthedocs.io/en/1.9.2/plugins/b608_hardcoded_sql_expressions.html
code samples/Python/Security-Aware/Claude/prompt8.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",356,20,28,"[356, 357]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
code samples/Python/Security-Aware/Claude/prompt9.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,3,0,17,[3],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_imports.html#b404-import-subprocess
code samples/Python/Security-Aware/Claude/prompt9.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,222,17,9,"[216, 217, 218, 219, 220, 221, 222, 223]",https://bandit.readthedocs.io/en/1.9.2/plugins/b603_subprocess_without_shell_equals_true.html
code samples/Python/Security-Aware/Claude/prompt9.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",299,4,12,"[299, 300]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
